signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,0,Low valence,0,Low valence,1324,0.6903023983315955
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,0,Low valence,1,High valence,594,0.3096976016684046
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,1,High valence,0,Low valence,726,0.41086587436332767
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCNMLP,1,High valence,1,High valence,1041,0.5891341256366723
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,0,Low valence,0,Low valence,1243,0.6480709071949948
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,0,Low valence,1,High valence,675,0.35192909280500523
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,1,High valence,0,Low valence,605,0.3423882286361064
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCNMLPWeights,1,High valence,1,High valence,1162,0.6576117713638936
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,0,Low valence,0,Low valence,1321,0.6887382690302398
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,0,Low valence,1,High valence,597,0.3112617309697602
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,1,High valence,0,Low valence,743,0.4204867006225241
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCNMean,1,High valence,1,High valence,1024,0.579513299377476
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,0,Low valence,0,Low valence,1355,0.7064650677789364
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,0,Low valence,1,High valence,563,0.2935349322210636
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,1,High valence,0,Low valence,562,0.3180531975099038
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,1,High valence,1,High valence,1205,0.6819468024900962
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,0,Low valence,0,Low valence,1366,0.7122002085505735
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,0,Low valence,1,High valence,552,0.28779979144942647
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,1,High valence,0,Low valence,607,0.34352009054895305
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,1,High valence,1,High valence,1160,0.656479909451047
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_gaze_pupil,MOMENT_GazeMAE_gaze_pupil,0,Low valence,0,Low valence,1278,0.6663190823774765
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_gaze_pupil,MOMENT_GazeMAE_gaze_pupil,0,Low valence,1,High valence,640,0.33368091762252344
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_gaze_pupil,MOMENT_GazeMAE_gaze_pupil,1,High valence,0,Low valence,618,0.34974533106960953
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_gaze_pupil,MOMENT_GazeMAE_gaze_pupil,1,High valence,1,High valence,1149,0.6502546689303905
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,0,Low valence,1918,1.0
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,1,High valence,0,0.0
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,0,Low valence,1767,1.0
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,1,High valence,0,0.0
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,0,Low valence,0,Low valence,992,0.5172054223149114
